freiburg1_360
image      depth      pose
0 1305031790.645155    1305031790.640468    1305031790.6406
1 1305031790.681208    1305031790.672866    1305031790.6806
2 1305031790.713097    1305031790.709421    1305031790.7106
3 1305031790.745223    1305031790.739530    1305031790.7406
4 1305031790.781258    1305031790.773548    1305031790.7806
5 1305031790.813207    1305031790.809521    1305031790.8105
6 1305031790.845151    1305031790.839363    1305031790.8405
7 1305031790.882094    1305031790.871606    1305031790.8806
8 1305031790.945171    1305031790.941495    1305031790.9406
9 1305031790.981159    1305031790.973696    1305031790.9805
10 1305031791.013075    1305031791.009486    1305031791.0105
11 1305031791.045137    1305031791.041197    1305031791.0406
12 1305031791.081293    1305031791.073525    1305031791.0805
13 1305031791.113136    1305031791.109452    1305031791.1105
14 1305031791.145096    1305031791.141330    1305031791.1406
15 1305031791.181287    1305031791.173227    1305031791.1806
16 1305031791.213098    1305031791.209506    1305031791.2106
17 1305031791.245087    1305031791.241091    1305031791.2406
18 1305031791.281340    1305031791.273558    1305031791.2805
19 1305031791.313088    1305031791.309764    1305031791.3105
20 1305031791.345123    1305031791.341415    1305031791.3406
21 1305031791.382161    1305031791.373525    1305031791.3806
22 1305031791.445165    1305031791.441538    1305031791.4406
23 1305031791.481375    1305031791.473230    1305031791.4805
24 1305031791.513084    1305031791.509595    1305031791.5105
25 1305031791.545065    1305031791.541450    1305031791.5406
26 1305031791.581127    1305031791.574034    1305031791.5805
27 1305031791.613194    1305031791.609401    1305031791.6105
28 1305031791.645074    1305031791.641229    1305031791.6406
29 1305031791.681062    1305031791.677621    1305031791.6805
30 1305031791.713242    1305031791.709275    1305031791.7105
31 1305031791.745148    1305031791.741364    1305031791.7405
32 1305031791.781286    1305031791.776668    1305031791.7805
33 1305031791.813247    1305031791.808429    1305031791.8106
34 1305031791.845123    1305031791.840375    1305031791.8405
35 1305031791.881072    1305031791.876494    1305031791.8806
36 1305031791.913193    1305031791.908433    1305031791.9106
37 1305031791.948998    1305031791.944357    1305031791.9505
38 1305031791.981259    1305031791.977200    1305031791.9806
39 1305031792.013213    1305031792.005506    1305031792.0105
40 1305031792.050221    1305031792.041730    1305031792.0505
41 1305031792.113127    1305031792.109497    1305031792.1105
42 1305031792.149109    1305031792.141484    1305031792.1506
43 1305031792.181099    1305031792.177376    1305031792.1806
44 1305031792.213166    1305031792.209274    1305031792.2105
45 1305031792.249088    1305031792.241751    1305031792.2505
46 1305031792.281069    1305031792.277507    1305031792.2805
47 1305031792.313073    1305031792.309357    1305031792.3105
48 1305031792.349198    1305031792.341029    1305031792.3506
49 1305031792.381062    1305031792.377088    1305031792.3806
50 1305031792.413074    1305031792.409323    1305031792.4105
51 1305031792.449168    1305031792.441590    1305031792.4505
52 1305031792.481098    1305031792.477100    1305031792.4805
53 1305031792.513052    1305031792.509589    1305031792.5106
54 1305031792.549157    1305031792.541061    1305031792.5505
55 1305031792.581136    1305031792.577055    1305031792.5805
56 1305031792.613102    1305031792.609388    1305031792.6105
57 1305031792.649254    1305031792.641219    1305031792.6505
58 1305031792.681063    1305031792.677662    1305031792.6805
59 1305031792.713116    1305031792.709219    1305031792.7105
60 1305031792.749097    1305031792.741510    1305031792.7506
61 1305031792.781106    1305031792.777507    1305031792.7805
62 1305031792.813144    1305031792.809440    1305031792.8106
63 1305031792.849022    1305031792.845359    1305031792.8505
64 1305031792.881064    1305031792.877574    1305031792.8805
65 1305031792.913316    1305031792.909293    1305031792.9105
66 1305031792.949047    1305031792.945340    1305031792.9505
67 1305031792.981139    1305031792.977564    1305031792.9805
68 1305031793.013059    1305031793.009530    1305031793.0106
69 1305031793.049115    1305031793.045243    1305031793.0505
70 1305031793.081172    1305031793.077518    1305031793.0805
71 1305031793.113126    1305031793.109651    1305031793.1105
72 1305031793.149098    1305031793.145401    1305031793.1505
73 1305031793.181113    1305031793.177537    1305031793.1805
74 1305031793.213203    1305031793.209609    1305031793.2105
75 1305031793.249128    1305031793.245617    1305031793.2505
76 1305031793.281300    1305031793.277180    1305031793.2805
77 1305031793.313159    1305031793.309399    1305031793.3105
78 1305031793.349110    1305031793.345594    1305031793.3505
79 1305031793.381139    1305031793.377232    1305031793.3805
80 1305031793.413790    1305031793.405708    1305031793.4106
81 1305031793.449092    1305031793.442259    1305031793.4505
82 1305031793.481359    1305031793.474150    1305031793.4805
83 1305031793.513246    1305031793.507244    1305031793.5105
84 1305031793.549071    1305031793.545400    1305031793.5505
85 1305031793.581157    1305031793.577186    1305031793.5805
86 1305031793.613153    1305031793.609703    1305031793.6106
87 1305031793.649429    1305031793.645429    1305031793.6505
88 1305031793.681107    1305031793.677435    1305031793.6805
89 1305031793.713169    1305031793.709532    1305031793.7105
90 1305031793.749040    1305031793.745574    1305031793.7505
91 1305031793.781106    1305031793.777364    1305031793.7805
92 1305031793.813185    1305031793.809469    1305031793.8105
93 1305031793.849143    1305031793.844756    1305031793.8505
94 1305031793.881130    1305031793.876455    1305031793.8805
95 1305031793.913043    1305031793.908753    1305031793.9105
96 1305031793.949037    1305031793.946431    1305031793.9505
97 1305031793.981122    1305031793.976745    1305031793.9805
98 1305031794.013091    1305031794.009162    1305031794.0105
99 1305031794.049085    1305031794.044747    1305031794.0505
100 1305031794.081104    1305031794.076455    1305031794.0805
101 1305031794.113117    1305031794.112475    1305031794.1105
102 1305031794.149250    1305031794.145599    1305031794.1505
103 1305031794.181114    1305031794.177734    1305031794.1805
104 1305031794.213850    1305031794.213866    1305031794.2105
105 1305031794.249049    1305031794.245539    1305031794.2505
106 1305031794.281224    1305031794.277346    1305031794.2805
107 1305031794.313689    1305031794.313708    1305031794.3105
108 1305031794.349120    1305031794.345350    1305031794.3505
109 1305031794.381128    1305031794.377641    1305031794.3805
110 1305031794.414141    1305031794.414154    1305031794.4105
111 1305031794.448978    1305031794.445415    1305031794.4505
112 1305031794.481048    1305031794.477731    1305031794.4805
113 1305031794.513623    1305031794.513643    1305031794.5105
114 1305031794.549055    1305031794.545650    1305031794.5504
115 1305031794.581098    1305031794.577340    1305031794.5805
116 1305031794.613605    1305031794.613627    1305031794.6105
117 1305031794.649050    1305031794.645569    1305031794.6505
118 1305031794.681066    1305031794.677507    1305031794.6805
119 1305031794.713569    1305031794.713599    1305031794.7105
120 1305031794.749055    1305031794.745368    1305031794.7504
121 1305031794.781053    1305031794.776816    1305031794.7805
122 1305031794.813436    1305031794.813463    1305031794.8105
123 1305031794.849048    1305031794.846026    1305031794.8505
124 1305031794.881088    1305031794.873764    1305031794.8805
125 1305031794.913315    1305031794.910108    1305031794.9104
126 1305031794.948993    1305031794.945596    1305031794.9505
127 1305031794.981050    1305031794.977250    1305031794.9806
128 1305031795.013529    1305031795.013538    1305031795.0105
129 1305031795.049021    1305031795.045683    1305031795.0504
130 1305031795.081170    1305031795.077205    1305031795.0805
