freiburg1_desk
image      depth      pose
0 1305031453.323682    1305031453.374112    1305031453.3195
1 1305031453.359684    1305031453.374112    1305031453.3595
2 1305031453.391690    1305031453.404816    1305031453.3894
3 1305031453.423683    1305031453.436941    1305031453.4195
4 1305031453.459685    1305031453.473352    1305031453.4595
5 1305031453.491698    1305031453.505218    1305031453.4895
6 1305031453.523684    1305031453.538301    1305031453.5195
7 1305031453.559753    1305031453.574074    1305031453.5595
8 1305031453.591640    1305031453.605314    1305031453.5899
9 1305031453.627706    1305031453.636951    1305031453.6295
10 1305031453.659600    1305031453.673185    1305031453.6595
11 1305031453.691678    1305031453.705487    1305031453.6895
12 1305031453.727652    1305031453.736856    1305031453.7295
13 1305031453.759694    1305031453.773786    1305031453.7595
14 1305031453.791716    1305031453.805041    1305031453.7895
15 1305031453.827773    1305031453.840352    1305031453.8295
16 1305031453.859705    1305031453.869618    1305031453.8595
17 1305031453.891710    1305031453.905519    1305031453.8894
18 1305031453.927723    1305031453.940012    1305031453.9295
19 1305031453.959641    1305031453.972592    1305031453.9597
20 1305031453.991624    1305031454.003179    1305031453.9895
21 1305031454.027662    1305031454.040976    1305031454.0295
22 1305031454.059654    1305031454.072690    1305031454.0594
23 1305031454.091651    1305031454.104619    1305031454.0894
24 1305031454.127701    1305031454.141030    1305031454.1295
25 1305031454.159672    1305031454.172688    1305031454.1595
26 1305031454.191658    1305031454.204626    1305031454.1895
27 1305031454.227671    1305031454.240858    1305031454.2295
28 1305031454.259627    1305031454.273489    1305031454.2595
29 1305031454.291639    1305031454.304744    1305031454.2895
30 1305031454.327699    1305031454.340806    1305031454.3295
31 1305031454.359636    1305031454.372652    1305031454.3595
32 1305031454.391677    1305031454.401962    1305031454.3896
33 1305031454.427465    1305031454.437248    1305031454.4295
34 1305031454.459913    1305031454.470741    1305031454.4595
35 1305031454.491617    1305031454.503859    1305031454.4895
36 1305031454.527700    1305031454.538424    1305031454.5295
37 1305031454.559575    1305031454.570323    1305031454.5595
