freiburg1_desk2
image      depth      pose
0 1305031526.671473    1305031526.688356    1305031526.6721
1 1305031526.707547    1305031526.721587    1305031526.7122
2 1305031526.739478    1305031526.755957    1305031526.7423
3 1305031526.771481    1305031526.755957    1305031526.7722
4 1305031526.807455    1305031526.822643    1305031526.8121
5 1305031526.839480    1305031526.822643    1305031526.8421
6 1305031526.871446    1305031526.856844    1305031526.8722
7 1305031526.907484    1305031526.920578    1305031526.9122
8 1305031526.939618    1305031526.955033    1305031526.9421
9 1305031526.971510    1305031526.987606    1305031526.9722
10 1305031527.007595    1305031527.020791    1305031527.0121
11 1305031527.039512    1305031527.055070    1305031527.0421
12 1305031527.071487    1305031527.086965    1305031527.0723
13 1305031527.107498    1305031527.119854    1305031527.1122
14 1305031527.139473    1305031527.155465    1305031527.1421
15 1305031527.171540    1305031527.186447    1305031527.1722
16 1305031527.207588    1305031527.222219    1305031527.2122
17 1305031527.239531    1305031527.256275    1305031527.2422
18 1305031527.271501    1305031527.256275    1305031527.2721
19 1305031527.307472    1305031527.323213    1305031527.3122
20 1305031527.339636    1305031527.355197    1305031527.3221
21 1305031527.371505    1305031527.355197    1305031527.3221
22 1305031527.471497    1305031527.486055    1305031527.5322
23 1305031527.507487    1305031527.522397    1305031527.5322
24 1305031527.539741    1305031527.554573    1305031527.5322
25 1305031527.571506    1305031527.586987    1305031527.5322
26 1305031527.607559    1305031527.622793    1305031527.6621
27 1305031527.639833    1305031527.656028    1305031527.6621
28 1305031527.671547    1305031527.656028    1305031527.6721
29 1305031527.707520    1305031527.721751    1305031527.7122
30 1305031527.739511    1305031527.756472    1305031527.7421
31 1305031527.771461    1305031527.756472    1305031527.7721
32 1305031527.807581    1305031527.825562    1305031527.8122
33 1305031527.839601    1305031527.825562    1305031527.8422
34 1305031527.871464    1305031527.857855    1305031527.8721
35 1305031527.907477    1305031527.922214    1305031527.9121
36 1305031527.939566    1305031527.954490    1305031527.9421
37 1305031527.971502    1305031527.987977    1305031527.9722
38 1305031528.007566    1305031528.025614    1305031528.0122
39 1305031528.039560    1305031528.025614    1305031528.0422
40 1305031528.071546    1305031528.085297    1305031528.0721
41 1305031528.107513    1305031528.124333    1305031528.1122
42 1305031528.139513    1305031528.151873    1305031528.1421
43 1305031528.171523    1305031528.186872    1305031528.1721
44 1305031528.207527    1305031528.220887    1305031528.2121
45 1305031528.239493    1305031528.251953    1305031528.2422
46 1305031528.275450    1305031528.284263    1305031528.2722
47 1305031528.307665    1305031528.321639    1305031528.3121
48 1305031528.339593    1305031528.355032    1305031528.3421
49 1305031528.375435    1305031528.384839    1305031528.3721
50 1305031528.407459    1305031528.424006    1305031528.4122
51 1305031528.439469    1305031528.453962    1305031528.4421
52 1305031528.475342    1305031528.490720    1305031528.4721
53 1305031528.507469    1305031528.490720    1305031528.5121
54 1305031528.539626    1305031528.524649    1305031528.5422
55 1305031528.575449    1305031528.592924    1305031528.5723
56 1305031528.607841    1305031528.592924    1305031528.6122
57 1305031528.639487    1305031528.654033    1305031528.6421
58 1305031528.675460    1305031528.692143    1305031528.6721
59 1305031528.707447    1305031528.692143    1305031528.7122
60 1305031528.739609    1305031528.725000    1305031528.7421
61 1305031528.775443    1305031528.792160    1305031528.7721
62 1305031528.807559    1305031528.792160    1305031528.8121
63 1305031528.839572    1305031528.824057    1305031528.8422
64 1305031528.875433    1305031528.892684    1305031528.8721
65 1305031528.907519    1305031528.892684    1305031528.9121
66 1305031528.939602    1305031528.924061    1305031528.9421
67 1305031528.975465    1305031528.991870    1305031528.9721
68 1305031529.007487    1305031528.991870    1305031529.0121
69 1305031529.039494    1305031529.024164    1305031529.0421
70 1305031529.075422    1305031529.092696    1305031529.0721
71 1305031529.107523    1305031529.092696    1305031529.1121
72 1305031529.139597    1305031529.124051    1305031529.1422
73 1305031529.175411    1305031529.192085    1305031529.1721
74 1305031529.207466    1305031529.192085    1305031529.2121
75 1305031529.239515    1305031529.224200    1305031529.2422
76 1305031529.275389    1305031529.291235    1305031529.2721
77 1305031529.307413    1305031529.323356    1305031529.3122
78 1305031529.339486    1305031529.323356    1305031529.3421
79 1305031529.375399    1305031529.388855    1305031529.3721
80 1305031529.407513    1305031529.423010    1305031529.4121
81 1305031529.439502    1305031529.423010    1305031529.4421
82 1305031529.475403    1305031529.491343    1305031529.4721
83 1305031529.507485    1305031529.522171    1305031529.5121
84 1305031529.539489    1305031529.556350    1305031529.5422
85 1305031529.575458    1305031529.593324    1305031529.5721
86 1305031529.607479    1305031529.593324    1305031529.6123
87 1305031529.639746    1305031529.623772    1305031529.6423
88 1305031529.675618    1305031529.692840    1305031529.6721
89 1305031529.707557    1305031529.692840    1305031529.7121
90 1305031529.739568    1305031529.725566    1305031529.7421
91 1305031529.775501    1305031529.759598    1305031529.7721
92 1305031529.807516    1305031529.792805    1305031529.8122
93 1305031529.839505    1305031529.825293    1305031529.8422
94 1305031529.875495    1305031529.891119    1305031529.8721
95 1305031529.907489    1305031529.891119    1305031529.9122
96 1305031529.939498    1305031529.925850    1305031529.9423
97 1305031529.975501    1305031529.960102    1305031529.9721
98 1305031530.007409    1305031529.992331    1305031530.0122
99 1305031530.039454    1305031530.024225    1305031530.0421
100 1305031530.075443    1305031530.059982    1305031530.0721
101 1305031530.107445    1305031530.091203    1305031530.1121
102 1305031530.139497    1305031530.125990    1305031530.1421
103 1305031530.175410    1305031530.159636    1305031530.1721
104 1305031530.207486    1305031530.191494    1305031530.2121
105 1305031530.239446    1305031530.224007    1305031530.2421
