freiburg1_floor
image      depth      pose
0 1305033527.670034    1305033527.667207    1305033527.6662
1 1305033527.701984    1305033527.699102    1305033527.7062
2 1305033527.733905    1305033527.731140    1305033527.7362
3 1305033527.769943    1305033527.767506    1305033527.7661
4 1305033527.801981    1305033527.798457    1305033527.8061
5 1305033527.833907    1305033527.831093    1305033527.8362
6 1305033527.869941    1305033527.866572    1305033527.8661
7 1305033527.901960    1305033527.898785    1305033527.9061
8 1305033527.933929    1305033527.931152    1305033527.9361
9 1305033527.969980    1305033527.967581    1305033527.9661
10 1305033528.002019    1305033527.999279    1305033528.0061
11 1305033528.034009    1305033528.031390    1305033528.0361
12 1305033528.070091    1305033528.067532    1305033528.0661
13 1305033528.102036    1305033528.099084    1305033528.1061
14 1305033528.133965    1305033528.131155    1305033528.1361
15 1305033528.169886    1305033528.167714    1305033528.1661
16 1305033528.202011    1305033528.198811    1305033528.2061
17 1305033528.234026    1305033528.231384    1305033528.2361
18 1305033528.269953    1305033528.267951    1305033528.2661
19 1305033528.301989    1305033528.299278    1305033528.3061
20 1305033528.333973    1305033528.331353    1305033528.3361
21 1305033528.369960    1305033528.367591    1305033528.3661
22 1305033528.402061    1305033528.399406    1305033528.4061
23 1305033528.433944    1305033528.431250    1305033528.4362
24 1305033528.470018    1305033528.467356    1305033528.4661
25 1305033528.502260    1305033528.499245    1305033528.5062
26 1305033528.534014    1305033528.531295    1305033528.5361
27 1305033528.570001    1305033528.567426    1305033528.5661
28 1305033528.601902    1305033528.598758    1305033528.6061
29 1305033528.633991    1305033528.631011    1305033528.6361
30 1305033528.669999    1305033528.666422    1305033528.6661
31 1305033528.702008    1305033528.698393    1305033528.7061
32 1305033528.734048    1305033528.730366    1305033528.7361
33 1305033528.770045    1305033528.765829    1305033528.7661
34 1305033528.801994    1305033528.798392    1305033528.8061
35 1305033528.834358    1305033528.834368    1305033528.8361
36 1305033528.870165    1305033528.867283    1305033528.8661
37 1305033528.902092    1305033528.898322    1305033528.9061
38 1305033528.934258    1305033528.934263    1305033528.9361
39 1305033528.969917    1305033528.967717    1305033528.9660
40 1305033529.002386    1305033528.995154    1305033529.0061
41 1305033529.033896    1305033529.033908    1305033529.0361
42 1305033529.069872    1305033529.066192    1305033529.0661
43 1305033529.101938    1305033529.098321    1305033529.1061
44 1305033529.133980    1305033529.133355    1305033529.1361
45 1305033529.170050    1305033529.162894    1305033529.1661
46 1305033529.201938    1305033529.198412    1305033529.2061
47 1305033529.233933    1305033529.233597    1305033529.2361
48 1305033529.270157    1305033529.265504    1305033529.2661
49 1305033529.302066    1305033529.297490    1305033529.3062
50 1305033529.333974    1305033529.330951    1305033529.3361
51 1305033529.369872    1305033529.367533    1305033529.3660
52 1305033529.402096    1305033529.396612    1305033529.4061
53 1305033529.434347    1305033529.434366    1305033529.4361
54 1305033529.470113    1305033529.464199    1305033529.4661
55 1305033529.502276    1305033529.497345    1305033529.5061
56 1305033529.534027    1305033529.532507    1305033529.5360
57 1305033529.569932    1305033529.565277    1305033529.5661
58 1305033529.601908    1305033529.599223    1305033529.6061
59 1305033529.634597    1305033529.634613    1305033529.6360
60 1305033529.670029    1305033529.667792    1305033529.6661
61 1305033529.701928    1305033529.699236    1305033529.7061
62 1305033529.735154    1305033529.735278    1305033529.7361
63 1305033529.769985    1305033529.766503    1305033529.7661
64 1305033529.801904    1305033529.799237    1305033529.8061
65 1305033529.835176    1305033529.835186    1305033529.8362
66 1305033529.870052    1305033529.865444    1305033529.8661
67 1305033529.902039    1305033529.898418    1305033529.9061
68 1305033529.934438    1305033529.934449    1305033529.9361
69 1305033529.969975    1305033529.966629    1305033529.9660
70 1305033530.002319    1305033530.002331    1305033530.0061
71 1305033530.034539    1305033530.034549    1305033530.0361
72 1305033530.070092    1305033530.066464    1305033530.0661
73 1305033530.102640    1305033530.102647    1305033530.1061
74 1305033530.133963    1305033530.132920    1305033530.1361
75 1305033530.169975    1305033530.166620    1305033530.1661
76 1305033530.202533    1305033530.202545    1305033530.2061
