freiburg1_plant
image      depth      pose
0 1305032353.993165    1305032354.009456    1305032353.9895
1 1305032354.025237    1305032354.009456    1305032354.0296
2 1305032354.057249    1305032354.045335    1305032354.0596
3 1305032354.093194    1305032354.076940    1305032354.0896
4 1305032354.125261    1305032354.109860    1305032354.1296
5 1305032354.157308    1305032354.145200    1305032354.1597
6 1305032354.193245    1305032354.177151    1305032354.1897
7 1305032354.225326    1305032354.209651    1305032354.2297
8 1305032354.257317    1305032354.244910    1305032354.2597
9 1305032354.293299    1305032354.277122    1305032354.2897
10 1305032354.325326    1305032354.309733    1305032354.3297
11 1305032354.357420    1305032354.345124    1305032354.3597
12 1305032354.394078    1305032354.407556    1305032354.3897
13 1305032354.425381    1305032354.407556    1305032354.4298
14 1305032354.457427    1305032354.445200    1305032354.4598
15 1305032354.493265    1305032354.477221    1305032354.4898
16 1305032354.525430    1305032354.510161    1305032354.5298
17 1305032354.557471    1305032354.545622    1305032354.5598
18 1305032354.593446    1305032354.577445    1305032354.5898
19 1305032354.625455    1305032354.610249    1305032354.6299
20 1305032354.657511    1305032354.645613    1305032354.6607
21 1305032354.693491    1305032354.677651    1305032354.6899
22 1305032354.725481    1305032354.709984    1305032354.7299
23 1305032354.757506    1305032354.745813    1305032354.7600
24 1305032354.793541    1305032354.777561    1305032354.7899
25 1305032354.825638    1305032354.813526    1305032354.8299
26 1305032354.857806    1305032354.845896    1305032354.8600
27 1305032354.893584    1305032354.877727    1305032354.8900
28 1305032354.925606    1305032354.913596    1305032354.9301
29 1305032354.957696    1305032354.946029    1305032354.9603
30 1305032354.993644    1305032354.977691    1305032354.9900
31 1305032355.025740    1305032355.013557    1305032355.0301
32 1305032355.057739    1305032355.045678    1305032355.0605
33 1305032355.093693    1305032355.077711    1305032355.0901
34 1305032355.126036    1305032355.113721    1305032355.1301
35 1305032355.157776    1305032355.145771    1305032355.1601
36 1305032355.193731    1305032355.177863    1305032355.1901
37 1305032355.226048    1305032355.213995    1305032355.2301
38 1305032355.258300    1305032355.246379    1305032355.2601
39 1305032355.293834    1305032355.278991    1305032355.2903
40 1305032355.325951    1305032355.312689    1305032355.3301
41 1305032355.357924    1305032355.347016    1305032355.3602
42 1305032355.393862    1305032355.379246    1305032355.3902
43 1305032355.426175    1305032355.415084    1305032355.4304
44 1305032355.458105    1305032355.446636    1305032355.4602
45 1305032355.493906    1305032355.479127    1305032355.4902
46 1305032355.526033    1305032355.514371    1305032355.5311
47 1305032355.558083    1305032355.546522    1305032355.5603
48 1305032355.593965    1305032355.578354    1305032355.5903
49 1305032355.626009    1305032355.614298    1305032355.6303
50 1305032355.658217    1305032355.646429    1305032355.6604
51 1305032355.693969    1305032355.679021    1305032355.6903
52 1305032355.726186    1305032355.715171    1305032355.7303
53 1305032355.758127    1305032355.747547    1305032355.7604
54 1305032355.794028    1305032355.779172    1305032355.7903
55 1305032355.826208    1305032355.815082    1305032355.8304
56 1305032355.858151    1305032355.847746    1305032355.8604
57 1305032355.894072    1305032355.879256    1305032355.8904
58 1305032355.926240    1305032355.914958    1305032355.9304
59 1305032355.960142    1305032355.947516    1305032355.9605
60 1305032355.994102    1305032355.979562    1305032355.9905
61 1305032356.026405    1305032356.015124    1305032356.0305
62 1305032356.058305    1305032356.047385    1305032356.0605
63 1305032356.094166    1305032356.083040    1305032356.0905
64 1305032356.126384    1305032356.114352    1305032356.1305
65 1305032356.158192    1305032356.146404    1305032356.1605
66 1305032356.194205    1305032356.182442    1305032356.1904
67 1305032356.226397    1305032356.214279    1305032356.2304
68 1305032356.258136    1305032356.246658    1305032356.2604
69 1305032356.294287    1305032356.282363    1305032356.2904
70 1305032356.326174    1305032356.314238    1305032356.3305
71 1305032356.358126    1305032356.346442    1305032356.3608
72 1305032356.394266    1305032356.382453    1305032356.3905
73 1305032356.426275    1305032356.414237    1305032356.4304
74 1305032356.458392    1305032356.446755    1305032356.4610
75 1305032356.494313    1305032356.482444    1305032356.4904
76 1305032356.526317    1305032356.514490    1305032356.5305
77 1305032356.562184    1305032356.546721    1305032356.5608
78 1305032356.594216    1305032356.582446    1305032356.5905
79 1305032356.626255    1305032356.614314    1305032356.6305
80 1305032356.662128    1305032356.646374    1305032356.6604
81 1305032356.694251    1305032356.683322    1305032356.6904
82 1305032356.727811    1305032356.715172    1305032356.7305
83 1305032356.762124    1305032356.743534    1305032356.7605
84 1305032356.794439    1305032356.782372    1305032356.7904
85 1305032356.826332    1305032356.814985    1305032356.8304
86 1305032356.862093    1305032356.846535    1305032356.8604
87 1305032356.894157    1305032356.882068    1305032356.8904
88 1305032356.926430    1305032356.914707    1305032356.9304
89 1305032356.962104    1305032356.947460    1305032356.9604
90 1305032356.994344    1305032356.982294    1305032356.9904
91 1305032357.026198    1305032357.014261    1305032357.0305
92 1305032357.062032    1305032357.046550    1305032357.0605
93 1305032357.094119    1305032357.082118    1305032357.0904
94 1305032357.126181    1305032357.114108    1305032357.1305
95 1305032357.162138    1305032357.146528    1305032357.1606
96 1305032357.194135    1305032357.182108    1305032357.1905
97 1305032357.226208    1305032357.214184    1305032357.2304
98 1305032357.262119    1305032357.250098    1305032357.2604
99 1305032357.294359    1305032357.282087    1305032357.2904
100 1305032357.326423    1305032357.314085    1305032357.3304
101 1305032357.362141    1305032357.350168    1305032357.3604
102 1305032357.394180    1305032357.382141    1305032357.3904
103 1305032357.426241    1305032357.414454    1305032357.4305
104 1305032357.462161    1305032357.450340    1305032357.4604
105 1305032357.494175    1305032357.482241    1305032357.4904
106 1305032357.526138    1305032357.513987    1305032357.5304
107 1305032357.562096    1305032357.549979    1305032357.5604
108 1305032357.594163    1305032357.582946    1305032357.5904
109 1305032357.626377    1305032357.611057    1305032357.6304
110 1305032357.662521    1305032357.650783    1305032357.6604
111 1305032357.694376    1305032357.683024    1305032357.6904
112 1305032357.726393    1305032357.710979    1305032357.7304
113 1305032357.762121    1305032357.750457    1305032357.7604
114 1305032357.794161    1305032357.783108    1305032357.7904
115 1305032357.826324    1305032357.814444    1305032357.8315
116 1305032357.862505    1305032357.850329    1305032357.8604
117 1305032357.894124    1305032357.882357    1305032357.8904
118 1305032357.926354    1305032357.914168    1305032357.9305
119 1305032357.962026    1305032357.948987    1305032357.9604
120 1305032357.994307    1305032357.982077    1305032357.9904
121 1305032358.026118    1305032358.010855    1305032358.0305
122 1305032358.062141    1305032358.050220    1305032358.0604
123 1305032358.094314    1305032358.082211    1305032358.0904
124 1305032358.126463    1305032358.115784    1305032358.1304
125 1305032358.162196    1305032358.150676    1305032358.1604
126 1305032358.194216    1305032358.183396    1305032358.1904
127 1305032358.226169    1305032358.214748    1305032358.2304
128 1305032358.262242    1305032358.251221    1305032358.2603
129 1305032358.294169    1305032358.283060    1305032358.2904
