freiburg1_room
image      depth      pose
0 1305031910.765238    1305031910.771502    1305031910.7695
1 1305031910.797230    1305031910.803249    1305031910.7995
2 1305031910.835208    1305031910.835215    1305031910.8395
3 1305031910.897222    1305031910.903682    1305031910.8995
4 1305031910.935211    1305031910.935221    1305031910.9395
5 1305031910.997325    1305031911.003202    1305031910.9996
6 1305031911.035050    1305031911.035056    1305031911.0395
7 1305031911.097196    1305031911.103332    1305031911.0996
8 1305031911.135664    1305031911.135683    1305031911.1395
9 1305031911.197213    1305031911.207568    1305031911.1995
10 1305031911.235651    1305031911.235660    1305031911.2395
11 1305031911.297334    1305031911.303504    1305031911.2995
12 1305031911.333191    1305031911.339412    1305031911.3296
13 1305031911.365235    1305031911.371631    1305031911.3696
14 1305031911.397333    1305031911.403484    1305031911.3995
15 1305031911.433256    1305031911.439656    1305031911.4295
16 1305031911.465250    1305031911.471398    1305031911.4695
17 1305031911.497291    1305031911.503476    1305031911.4996
18 1305031911.533251    1305031911.539636    1305031911.5296
19 1305031911.565335    1305031911.571543    1305031911.5695
20 1305031911.597302    1305031911.603617    1305031911.5995
21 1305031911.633337    1305031911.639562    1305031911.6295
22 1305031911.665124    1305031911.671469    1305031911.6695
23 1305031911.697167    1305031911.705153    1305031911.6995
24 1305031911.733203    1305031911.739460    1305031911.7295
25 1305031911.765284    1305031911.771372    1305031911.7695
26 1305031911.797297    1305031911.803540    1305031911.7995
27 1305031911.833338    1305031911.839611    1305031911.8295
28 1305031911.865269    1305031911.871650    1305031911.8695
29 1305031911.897159    1305031911.904281    1305031911.8995
30 1305031911.933063    1305031911.940338    1305031911.9295
31 1305031911.965140    1305031911.972044    1305031911.9695
32 1305031911.997252    1305031912.004430    1305031911.9995
33 1305031912.033135    1305031912.040573    1305031912.0295
34 1305031912.065365    1305031912.069771    1305031912.0695
35 1305031912.096953    1305031912.104327    1305031912.0995
36 1305031912.133282    1305031912.139831    1305031912.1297
37 1305031912.165138    1305031912.171439    1305031912.1697
38 1305031912.197357    1305031912.204109    1305031912.1996
39 1305031912.233265    1305031912.239820    1305031912.2295
40 1305031912.265090    1305031912.272101    1305031912.2695
