freiburg1_rpy
image      depth      pose
0 1305031229.528748    1305031229.528784    1305031229.5332
1 1305031229.564425    1305031229.564442    1305031229.5632
2 1305031229.596600    1305031229.596617    1305031229.5932
3 1305031229.628753    1305031229.628790    1305031229.6332
4 1305031229.664657    1305031229.664358    1305031229.6632
5 1305031229.696827    1305031229.696843    1305031229.6932
6 1305031229.729064    1305031229.729077    1305031229.7331
7 1305031229.764848    1305031229.764869    1305031229.7633
8 1305031229.796909    1305031229.796923    1305031229.7932
9 1305031229.863055    1305031229.863062    1305031229.8631
10 1305031229.896929    1305031229.896938    1305031229.8932
11 1305031229.966160    1305031229.966241    1305031229.9632
12 1305031229.997917    1305031229.997931    1305031229.9932
13 1305031230.029991    1305031230.030002    1305031230.0331
14 1305031230.065687    1305031230.065696    1305031230.0632
15 1305031230.098242    1305031230.098274    1305031230.1031
16 1305031230.129919    1305031230.129935    1305031230.1331
17 1305031230.165771    1305031230.165780    1305031230.1632
18 1305031230.197772    1305031230.197782    1305031230.1931
19 1305031230.229830    1305031230.229853    1305031230.2331
20 1305031230.265580    1305031230.265590    1305031230.2633
21 1305031230.297982    1305031230.297993    1305031230.2932
22 1305031230.365650    1305031230.365680    1305031230.3631
23 1305031230.397265    1305031230.397329    1305031230.3931
24 1305031230.465220    1305031230.465312    1305031230.4631
25 1305031230.497228    1305031230.497300    1305031230.4931
26 1305031230.566084    1305031230.566115    1305031230.5631
27 1305031230.598825    1305031230.598843    1305031230.6031
28 1305031230.665795    1305031230.666047    1305031230.6631
29 1305031230.697932    1305031230.697945    1305031230.6932
30 1305031230.765854    1305031230.765924    1305031230.7631
31 1305031230.797303    1305031230.797323    1305031230.7931
32 1305031230.865523    1305031230.865542    1305031230.8632
33 1305031230.897379    1305031230.897394    1305031230.8931
34 1305031230.964976    1305031230.965035    1305031230.9632
35 1305031230.997080    1305031230.997124    1305031230.9932
36 1305031231.064422    1305031231.064474    1305031231.0631
37 1305031231.096775    1305031231.096788    1305031231.0932
38 1305031231.165241    1305031231.165276    1305031231.1632
39 1305031231.197747    1305031231.197771    1305031231.1931
40 1305031231.265594    1305031231.265635    1305031231.2632
41 1305031231.297846    1305031231.297861    1305031231.2932
42 1305031231.365066    1305031231.365077    1305031231.3631
43 1305031231.397128    1305031231.397330    1305031231.3932
44 1305031231.464918    1305031231.464989    1305031231.4632
45 1305031231.525755    1305031231.533196    1305031231.5231
46 1305031231.565052    1305031231.565068    1305031231.5631
47 1305031231.625704    1305031231.633159    1305031231.6231
48 1305031231.665045    1305031231.665055    1305031231.6631
49 1305031231.725886    1305031231.733938    1305031231.7231
50 1305031231.765478    1305031231.765509    1305031231.7631
51 1305031231.825686    1305031231.833292    1305031231.8231
52 1305031231.864940    1305031231.864959    1305031231.8631
53 1305031231.925706    1305031231.933046    1305031231.9232
54 1305031231.965010    1305031231.965030    1305031231.9632
55 1305031232.025790    1305031232.033203    1305031232.0232
56 1305031232.065122    1305031232.065145    1305031232.0631
57 1305031232.125662    1305031232.132838    1305031232.1231
58 1305031232.165032    1305031232.165052    1305031232.1631
59 1305031232.225683    1305031232.236468    1305031232.2231
60 1305031232.262691    1305031232.262698    1305031232.2634
61 1305031232.325619    1305031232.332143    1305031232.3231
62 1305031232.364738    1305031232.364749    1305031232.3631
63 1305031232.425721    1305031232.433144    1305031232.4231
64 1305031232.464703    1305031232.464721    1305031232.4631
65 1305031232.525781    1305031232.532464    1305031232.5231
66 1305031232.564714    1305031232.564745    1305031232.5632
67 1305031232.625783    1305031232.629427    1305031232.6231
68 1305031232.664695    1305031232.664708    1305031232.6631
69 1305031232.725876    1305031232.732798    1305031232.7231
70 1305031232.761719    1305031232.768460    1305031232.7631
71 1305031232.793672    1305031232.804538    1305031232.7931
72 1305031232.825767    1305031232.834645    1305031232.8231
73 1305031232.861666    1305031232.868557    1305031232.8631
74 1305031232.893683    1305031232.904183    1305031232.8931
75 1305031232.925756    1305031232.933000    1305031232.9231
76 1305031232.961662    1305031232.968364    1305031232.9631
77 1305031232.993641    1305031233.001151    1305031232.9934
78 1305031233.025746    1305031233.033022    1305031233.0231
79 1305031233.061697    1305031233.068843    1305031233.0631
80 1305031233.093701    1305031233.100447    1305031233.0931
81 1305031233.125846    1305031233.132892    1305031233.1231
82 1305031233.161744    1305031233.168480    1305031233.1631
83 1305031233.193761    1305031233.200634    1305031233.1931
84 1305031233.225763    1305031233.233009    1305031233.2231
85 1305031233.261687    1305031233.268468    1305031233.2631
86 1305031233.293802    1305031233.300395    1305031233.2931
87 1305031233.325798    1305031233.332530    1305031233.3231
88 1305031233.361800    1305031233.368630    1305031233.3631
89 1305031233.393685    1305031233.400893    1305031233.3931
90 1305031233.425708    1305031233.433008    1305031233.4231
91 1305031233.461836    1305031233.468787    1305031233.4631
92 1305031233.493692    1305031233.500736    1305031233.4931
93 1305031233.525708    1305031233.534161    1305031233.5231
94 1305031233.561785    1305031233.569727    1305031233.5631
95 1305031233.593760    1305031233.601275    1305031233.5931
96 1305031233.625707    1305031233.633041    1305031233.6231
97 1305031233.661700    1305031233.671783    1305031233.6631
98 1305031233.693779    1305031233.702296    1305031233.6931
99 1305031233.725575    1305031233.731201    1305031233.7231
100 1305031233.761643    1305031233.769160    1305031233.7633
101 1305031233.793747    1305031233.799768    1305031233.7931
102 1305031233.825687    1305031233.833831    1305031233.8231
103 1305031233.861613    1305031233.865570    1305031233.8631
104 1305031233.893718    1305031233.898697    1305031233.8931
105 1305031233.925841    1305031233.932003    1305031233.9231
106 1305031233.961748    1305031233.968159    1305031233.9631
107 1305031233.993722    1305031233.998938    1305031233.9931
108 1305031234.025786    1305031234.037068    1305031234.0232
109 1305031234.061675    1305031234.068756    1305031234.0631
110 1305031234.093790    1305031234.099741    1305031234.0931
111 1305031234.129606    1305031234.135069    1305031234.1331
112 1305031234.161729    1305031234.165901    1305031234.1631
113 1305031234.193710    1305031234.201004    1305031234.1931
114 1305031234.229746    1305031234.238575    1305031234.2331
115 1305031234.261752    1305031234.265510    1305031234.2631
116 1305031234.293697    1305031234.302455    1305031234.2931
117 1305031234.329654    1305031234.338458    1305031234.3331
118 1305031234.361612    1305031234.366181    1305031234.3631
119 1305031234.393723    1305031234.400035    1305031234.3931
120 1305031234.429703    1305031234.436771    1305031234.4331
121 1305031234.461690    1305031234.467606    1305031234.4631
122 1305031234.493831    1305031234.497781    1305031234.4931
123 1305031234.529645    1305031234.537671    1305031234.5331
124 1305031234.561675    1305031234.569037    1305031234.5631
125 1305031234.593780    1305031234.598248    1305031234.5931
126 1305031234.630013    1305031234.633649    1305031234.6331
127 1305031234.661618    1305031234.665859    1305031234.6632
128 1305031234.693750    1305031234.698732    1305031234.6931
129 1305031234.729764    1305031234.734437    1305031234.7330
130 1305031234.761815    1305031234.768972    1305031234.7631
131 1305031234.793716    1305031234.801553    1305031234.7931
132 1305031234.829772    1305031234.837808    1305031234.8330
133 1305031234.861873    1305031234.869321    1305031234.8631
134 1305031234.893760    1305031234.901998    1305031234.8931
135 1305031234.929666    1305031234.938161    1305031234.9331
136 1305031234.961659    1305031234.973080    1305031234.9631
137 1305031234.993749    1305031235.005083    1305031234.9931
138 1305031235.029701    1305031235.039972    1305031235.0331
139 1305031235.061591    1305031235.072940    1305031235.0631
140 1305031235.093621    1305031235.099591    1305031235.0931
141 1305031235.129679    1305031235.136271    1305031235.1330
142 1305031235.161491    1305031235.166371    1305031235.1631
143 1305031235.193605    1305031235.199847    1305031235.1931
144 1305031235.229635    1305031235.237570    1305031235.2331
145 1305031235.261629    1305031235.269039    1305031235.2631
146 1305031235.293677    1305031235.306487    1305031235.2930
147 1305031235.329649    1305031235.338000    1305031235.3331
148 1305031235.361653    1305031235.369888    1305031235.3631
149 1305031235.393686    1305031235.406016    1305031235.3930
150 1305031235.429666    1305031235.438153    1305031235.4331
151 1305031235.461669    1305031235.470059    1305031235.4631
152 1305031235.493665    1305031235.505985    1305031235.4931
153 1305031235.529738    1305031235.538554    1305031235.5331
154 1305031235.561675    1305031235.570365    1305031235.5631
155 1305031235.593726    1305031235.606006    1305031235.5931
156 1305031235.629798    1305031235.638951    1305031235.6331
157 1305031235.661669    1305031235.670516    1305031235.6630
158 1305031235.693698    1305031235.705778    1305031235.6931
159 1305031235.729661    1305031235.738797    1305031235.7331
160 1305031235.761818    1305031235.769630    1305031235.7631
161 1305031235.793628    1305031235.807225    1305031235.7931
162 1305031235.829663    1305031235.838812    1305031235.8331
163 1305031235.861603    1305031235.870067    1305031235.8631
164 1305031235.893698    1305031235.906111    1305031235.8931
165 1305031235.929664    1305031235.938233    1305031235.9331
166 1305031235.961704    1305031235.970011    1305031235.9631
167 1305031235.993673    1305031236.006853    1305031235.9931
168 1305031236.029652    1305031236.038048    1305031236.0331
169 1305031236.061630    1305031236.069878    1305031236.0631
170 1305031236.093688    1305031236.105872    1305031236.0931
171 1305031236.129660    1305031236.138325    1305031236.1331
172 1305031236.161670    1305031236.170933    1305031236.1631
173 1305031236.193597    1305031236.207190    1305031236.1931
174 1305031236.229721    1305031236.238375    1305031236.2331
175 1305031236.261669    1305031236.269959    1305031236.2631
176 1305031236.293648    1305031236.306994    1305031236.2931
177 1305031236.329663    1305031236.339217    1305031236.3331
178 1305031236.361588    1305031236.370096    1305031236.3631
179 1305031236.393685    1305031236.405869    1305031236.3931
180 1305031236.429662    1305031236.438788    1305031236.4331
181 1305031236.461654    1305031236.475141    1305031236.4630
182 1305031236.493658    1305031236.507721    1305031236.4931
183 1305031236.529695    1305031236.538645    1305031236.5331
184 1305031236.561678    1305031236.574095    1305031236.5631
185 1305031236.593682    1305031236.605757    1305031236.5931
186 1305031236.629642    1305031236.638401    1305031236.6330
187 1305031236.661655    1305031236.675147    1305031236.6630
188 1305031236.693667    1305031236.703362    1305031236.6930
189 1305031236.729693    1305031236.733922    1305031236.7331
190 1305031236.761749    1305031236.774041    1305031236.7631
191 1305031236.793675    1305031236.802588    1305031236.7930
192 1305031236.829705    1305031236.836415    1305031236.8331
193 1305031236.861617    1305031236.874398    1305031236.8631
194 1305031236.893505    1305031236.906069    1305031236.8931
195 1305031236.929669    1305031236.934437    1305031236.9331
196 1305031236.961639    1305031236.974400    1305031236.9631
197 1305031236.993680    1305031237.007426    1305031236.9931
198 1305031237.029714    1305031237.037024    1305031237.0331
199 1305031237.061729    1305031237.073427    1305031237.0631
200 1305031237.093695    1305031237.105968    1305031237.0931
201 1305031237.129774    1305031237.137832    1305031237.1332
202 1305031237.161661    1305031237.171227    1305031237.1630
203 1305031237.193642    1305031237.204229    1305031237.1930
204 1305031237.229691    1305031237.237569    1305031237.2331
205 1305031237.261663    1305031237.274659    1305031237.2631
206 1305031237.293709    1305031237.305810    1305031237.2931
207 1305031237.329672    1305031237.337142    1305031237.3330
208 1305031237.361618    1305031237.374166    1305031237.3631
209 1305031237.393671    1305031237.405734    1305031237.3931
210 1305031237.429793    1305031237.437722    1305031237.4330
211 1305031237.461646    1305031237.474128    1305031237.4630
212 1305031237.493702    1305031237.506045    1305031237.4931
213 1305031237.529735    1305031237.537650    1305031237.5330
214 1305031237.561669    1305031237.573948    1305031237.5630
215 1305031237.593680    1305031237.606813    1305031237.5930
216 1305031237.629705    1305031237.637855    1305031237.6331
217 1305031237.661656    1305031237.675276    1305031237.6630
218 1305031237.693693    1305031237.707118    1305031237.6931
219 1305031237.729752    1305031237.741667    1305031237.7330
220 1305031237.761654    1305031237.774306    1305031237.7631
221 1305031237.793725    1305031237.806496    1305031237.7930
222 1305031237.829769    1305031237.843031    1305031237.8330
223 1305031237.861836    1305031237.875422    1305031237.8630
224 1305031237.893771    1305031237.907784    1305031237.8930
225 1305031237.929849    1305031237.944187    1305031237.9331
226 1305031237.961658    1305031237.973810    1305031237.9630
227 1305031237.993683    1305031238.006932    1305031237.9930
228 1305031238.029709    1305031238.043140    1305031238.0330
229 1305031238.061670    1305031238.074032    1305031238.0630
230 1305031238.093685    1305031238.106588    1305031238.0930
231 1305031238.129747    1305031238.143328    1305031238.1330
232 1305031238.161682    1305031238.172300    1305031238.1630
233 1305031238.193792    1305031238.205426    1305031238.1931
234 1305031238.230012    1305031238.240147    1305031238.2331
235 1305031238.261604    1305031238.272527    1305031238.2630
236 1305031238.293671    1305031238.306053    1305031238.2930
237 1305031238.329662    1305031238.342596    1305031238.3330
238 1305031238.361640    1305031238.374104    1305031238.3630
239 1305031238.393667    1305031238.406036    1305031238.3931
240 1305031238.429673    1305031238.443424    1305031238.4330
241 1305031238.461685    1305031238.474082    1305031238.4630
242 1305031238.493679    1305031238.505811    1305031238.4930
243 1305031238.529670    1305031238.543264    1305031238.5330
244 1305031238.561624    1305031238.574184    1305031238.5630
245 1305031238.593741    1305031238.605825    1305031238.5930
246 1305031238.629751    1305031238.642759    1305031238.6330
247 1305031238.661628    1305031238.673813    1305031238.6630
248 1305031238.693855    1305031238.705189    1305031238.6930
249 1305031238.729729    1305031238.741307    1305031238.7330
250 1305031238.761658    1305031238.771796    1305031238.7630
251 1305031238.793691    1305031238.807019    1305031238.7930
252 1305031238.829730    1305031238.842940    1305031238.8330
253 1305031238.861826    1305031238.873723    1305031238.8630
254 1305031238.893734    1305031238.906172    1305031238.8930
255 1305031238.929837    1305031238.942786    1305031238.9330
256 1305031238.961656    1305031238.972308    1305031238.9630
257 1305031238.993704    1305031239.010483    1305031238.9931
258 1305031239.029670    1305031239.040879    1305031239.0330
259 1305031239.061677    1305031239.074661    1305031239.0630
260 1305031239.093689    1305031239.110906    1305031239.0930
261 1305031239.129738    1305031239.141779    1305031239.1330
262 1305031239.161756    1305031239.175750    1305031239.1630
263 1305031239.193706    1305031239.209645    1305031239.1930
264 1305031239.229882    1305031239.241710    1305031239.2330
265 1305031239.261721    1305031239.273820    1305031239.2630
266 1305031239.293674    1305031239.310177    1305031239.2930
267 1305031239.329705    1305031239.341970    1305031239.3331
268 1305031239.361715    1305031239.375024    1305031239.3630
269 1305031239.393718    1305031239.410631    1305031239.3931
270 1305031239.429744    1305031239.441542    1305031239.4330
271 1305031239.461708    1305031239.473318    1305031239.4630
272 1305031239.493720    1305031239.509739    1305031239.4930
273 1305031239.529662    1305031239.543802    1305031239.5333
274 1305031239.561733    1305031239.576116    1305031239.5630
275 1305031239.593921    1305031239.611161    1305031239.5934
276 1305031239.629723    1305031239.641422    1305031239.6330
277 1305031239.661659    1305031239.671056    1305031239.6630
278 1305031239.693733    1305031239.707555    1305031239.6930
279 1305031239.729894    1305031239.741755    1305031239.7330
280 1305031239.761913    1305031239.771260    1305031239.7630
281 1305031239.793585    1305031239.806087    1305031239.7930
282 1305031239.829666    1305031239.839289    1305031239.8330
283 1305031239.861692    1305031239.874430    1305031239.8630
284 1305031239.893740    1305031239.909062    1305031239.8930
285 1305031239.929706    1305031239.940373    1305031239.9330
286 1305031239.961710    1305031239.971067    1305031239.9630
287 1305031239.993691    1305031240.008865    1305031239.9930
288 1305031240.029620    1305031240.039660    1305031240.0330
289 1305031240.061929    1305031240.071187    1305031240.0630
290 1305031240.093651    1305031240.109346    1305031240.0930
291 1305031240.129665    1305031240.143502    1305031240.1330
