freiburg1_teddy
image      depth      pose
0 1305032180.416768    1305032180.405639    1305032180.4169
1 1305032180.449191    1305032180.438164    1305032180.4469
2 1305032180.480837    1305032180.473947    1305032180.4769
3 1305032180.516840    1305032180.505769    1305032180.5169
4 1305032180.548937    1305032180.537931    1305032180.5469
5 1305032180.581332    1305032180.573686    1305032180.5770
6 1305032180.616763    1305032180.605816    1305032180.6169
7 1305032180.648962    1305032180.637735    1305032180.6469
8 1305032180.680825    1305032180.673554    1305032180.6770
9 1305032180.717342    1305032180.706762    1305032180.7169
10 1305032180.748819    1305032180.738359    1305032180.7469
11 1305032180.780850    1305032180.773243    1305032180.7769
12 1305032180.816787    1305032180.805058    1305032180.8169
13 1305032180.848954    1305032180.837101    1305032180.8469
14 1305032180.880917    1305032180.873784    1305032180.8769
15 1305032180.916865    1305032180.905747    1305032180.9169
16 1305032180.948907    1305032180.941791    1305032180.9469
17 1305032180.980907    1305032180.973741    1305032180.9769
18 1305032181.016753    1305032181.005492    1305032181.0169
19 1305032181.048957    1305032181.041884    1305032181.0469
20 1305032181.080911    1305032181.073835    1305032181.0769
21 1305032181.116902    1305032181.105971    1305032181.1169
22 1305032181.148803    1305032181.142127    1305032181.1469
23 1305032181.181078    1305032181.173703    1305032181.1769
24 1305032181.216791    1305032181.206149    1305032181.2169
25 1305032181.248831    1305032181.241823    1305032181.2469
26 1305032181.280978    1305032181.273774    1305032181.2769
27 1305032181.316657    1305032181.305986    1305032181.3169
28 1305032181.348799    1305032181.340021    1305032181.3469
29 1305032181.380787    1305032181.373848    1305032181.3770
30 1305032181.416712    1305032181.405778    1305032181.4170
31 1305032181.448767    1305032181.442155    1305032181.4469
32 1305032181.480888    1305032181.471248    1305032181.4769
33 1305032181.517110    1305032181.505736    1305032181.5169
34 1305032181.549041    1305032181.541855    1305032181.5469
35 1305032181.580857    1305032181.573707    1305032181.5769
36 1305032181.616881    1305032181.605856    1305032181.6169
37 1305032181.648916    1305032181.641150    1305032181.6469
38 1305032181.681016    1305032181.674022    1305032181.6769
39 1305032181.716843    1305032181.705719    1305032181.7169
40 1305032181.748990    1305032181.738430    1305032181.7469
41 1305032181.780875    1305032181.771053    1305032181.7769
42 1305032181.816836    1305032181.802093    1305032181.8182
43 1305032181.848912    1305032181.840925    1305032181.8469
44 1305032181.880877    1305032181.873933    1305032181.8769
45 1305032181.916917    1305032181.906121    1305032181.9172
46 1305032181.950114    1305032181.942336    1305032181.9469
47 1305032182.016837    1305032182.005989    1305032182.0169
48 1305032182.049261    1305032182.042220    1305032182.0469
49 1305032182.081072    1305032182.072646    1305032182.0769
50 1305032182.116839    1305032182.105944    1305032182.1169
51 1305032182.148903    1305032182.142112    1305032182.1469
52 1305032182.180809    1305032182.173846    1305032182.1769
53 1305032182.216846    1305032182.210039    1305032182.2170
54 1305032182.248838    1305032182.241036    1305032182.2469
55 1305032182.280886    1305032182.273055    1305032182.2769
56 1305032182.316854    1305032182.309045    1305032182.3168
57 1305032182.348809    1305032182.342137    1305032182.3469
58 1305032182.380837    1305032182.373922    1305032182.3769
59 1305032182.417061    1305032182.409952    1305032182.4169
60 1305032182.449002    1305032182.442170    1305032182.4469
61 1305032182.480855    1305032182.473474    1305032182.4769
62 1305032182.516842    1305032182.509642    1305032182.5169
63 1305032182.548795    1305032182.540948    1305032182.5469
64 1305032182.580911    1305032182.573216    1305032182.5769
65 1305032182.616769    1305032182.609257    1305032182.6169
66 1305032182.648743    1305032182.641973    1305032182.6469
67 1305032182.680940    1305032182.672982    1305032182.6768
68 1305032182.716969    1305032182.710041    1305032182.7169
69 1305032182.749019    1305032182.741721    1305032182.7469
70 1305032182.781052    1305032182.773693    1305032182.7769
71 1305032182.816828    1305032182.810042    1305032182.8168
72 1305032182.848783    1305032182.840026    1305032182.8469
73 1305032182.881107    1305032182.874035    1305032182.8769
74 1305032182.916860    1305032182.910018    1305032182.9169
75 1305032182.948825    1305032182.941928    1305032182.9468
76 1305032182.981101    1305032182.973864    1305032182.9769
77 1305032183.016793    1305032183.010104    1305032183.0168
78 1305032183.048822    1305032183.041827    1305032183.0469
79 1305032183.080929    1305032183.073784    1305032183.0769
80 1305032183.118077    1305032183.109760    1305032183.1169
81 1305032183.180752    1305032183.173981    1305032183.1769
82 1305032183.217065    1305032183.209832    1305032183.2168
83 1305032183.249343    1305032183.241698    1305032183.2469
84 1305032183.280841    1305032183.271681    1305032183.2768
85 1305032183.317034    1305032183.309449    1305032183.3169
86 1305032183.348643    1305032183.340218    1305032183.3468
87 1305032183.380784    1305032183.376910    1305032183.3769
88 1305032183.417050    1305032183.409350    1305032183.4169
89 1305032183.448870    1305032183.441502    1305032183.4469
90 1305032183.480747    1305032183.478164    1305032183.4769
91 1305032183.516841    1305032183.510006    1305032183.5169
92 1305032183.548800    1305032183.542153    1305032183.5469
93 1305032183.581352    1305032183.573584    1305032183.5769
94 1305032183.617016    1305032183.609802    1305032183.6169
95 1305032183.649047    1305032183.641260    1305032183.6469
96 1305032183.680786    1305032183.677575    1305032183.6769
97 1305032183.716899    1305032183.709848    1305032183.7168
98 1305032183.748924    1305032183.739909    1305032183.7469
99 1305032183.780796    1305032183.777057    1305032183.7769
100 1305032183.816827    1305032183.808894    1305032183.8168
101 1305032183.848835    1305032183.838969    1305032183.8468
102 1305032183.880829    1305032183.877204    1305032183.8769
103 1305032183.916910    1305032183.908421    1305032183.9169
104 1305032183.948890    1305032183.940719    1305032183.9469
105 1305032183.980795    1305032183.976886    1305032183.9768
106 1305032184.016821    1305032184.009119    1305032184.0169
107 1305032184.049024    1305032184.042055    1305032184.0469
108 1305032184.080840    1305032184.078077    1305032184.0768
109 1305032184.116837    1305032184.109544    1305032184.1168
110 1305032184.148987    1305032184.138001    1305032184.1468
111 1305032184.180725    1305032184.177970    1305032184.1769
112 1305032184.216990    1305032184.209460    1305032184.2168
113 1305032184.248806    1305032184.241860    1305032184.2469
114 1305032184.280893    1305032184.277875    1305032184.2769
115 1305032184.316771    1305032184.305815    1305032184.3169
116 1305032184.348790    1305032184.341974    1305032184.3469
117 1305032184.380890    1305032184.377902    1305032184.3768
118 1305032184.416859    1305032184.410099    1305032184.4168
119 1305032184.448922    1305032184.441672    1305032184.4468
120 1305032184.480939    1305032184.477946    1305032184.4769
121 1305032184.517404    1305032184.509151    1305032184.5169
122 1305032184.548890    1305032184.541024    1305032184.5469
123 1305032184.580889    1305032184.577028    1305032184.5769
124 1305032184.616917    1305032184.609226    1305032184.6169
125 1305032184.648802    1305032184.644983    1305032184.6469
126 1305032184.680796    1305032184.676980    1305032184.6768
