freiburg2_xyz
image      depth      pose
0 1311867170.462290    1311867170.450076    1311867170.4622
1 1311867170.494139    1311867170.483500    1311867170.4956
2 1311867170.526429    1311867170.516818    1311867170.5256
3 1311867170.562349    1311867170.551384    1311867170.5623
4 1311867170.594217    1311867170.580990    1311867170.5957
5 1311867170.626087    1311867170.617942    1311867170.6256
6 1311867170.662140    1311867170.649674    1311867170.6622
7 1311867170.694205    1311867170.680532    1311867170.6956
8 1311867170.726388    1311867170.717358    1311867170.7256
9 1311867170.762019    1311867170.749451    1311867170.7622
10 1311867170.794192    1311867170.780364    1311867170.7956
11 1311867170.826282    1311867170.816535    1311867170.8256
12 1311867170.862221    1311867170.850616    1311867170.8623
13 1311867170.894378    1311867170.882672    1311867170.8956
14 1311867170.926352    1311867170.917264    1311867170.9256
15 1311867170.962147    1311867170.949643    1311867170.9623
16 1311867170.994263    1311867170.986197    1311867170.9956
17 1311867171.026274    1311867171.019831    1311867171.0256
18 1311867171.062352    1311867171.052592    1311867171.0623
19 1311867171.094235    1311867171.084303    1311867171.0957
20 1311867171.126251    1311867171.116865    1311867171.1257
21 1311867171.162247    1311867171.150265    1311867171.1623
22 1311867171.194269    1311867171.188157    1311867171.1956
23 1311867171.226253    1311867171.215808    1311867171.2256
24 1311867171.262244    1311867171.250755    1311867171.2623
25 1311867171.294341    1311867171.288603    1311867171.2956
26 1311867171.326387    1311867171.320387    1311867171.3256
27 1311867171.362246    1311867171.348416    1311867171.3623
28 1311867171.394143    1311867171.386411    1311867171.3956
29 1311867171.426288    1311867171.418257    1311867171.4256
30 1311867171.462244    1311867171.450724    1311867171.4623
31 1311867171.494404    1311867171.485965    1311867171.4957
32 1311867171.526178    1311867171.516537    1311867171.5257
33 1311867171.562297    1311867171.552054    1311867171.5623
34 1311867171.594293    1311867171.587078    1311867171.5956
35 1311867171.626340    1311867171.619828    1311867171.6257
36 1311867171.662256    1311867171.651108    1311867171.6623
37 1311867171.694344    1311867171.685447    1311867171.6957
38 1311867171.726244    1311867171.716495    1311867171.7257
39 1311867171.762119    1311867171.752030    1311867171.7622
40 1311867171.794171    1311867171.787543    1311867171.7956
41 1311867171.826255    1311867171.816493    1311867171.8256
42 1311867171.862359    1311867171.852528    1311867171.8623
43 1311867171.894443    1311867171.887719    1311867171.8957
44 1311867171.926222    1311867171.916475    1311867171.9256
45 1311867171.962467    1311867171.951952    1311867171.9623
46 1311867171.994671    1311867171.988074    1311867171.9957
47 1311867172.026268    1311867172.016436    1311867172.0257
48 1311867172.062288    1311867172.049438    1311867172.0623
49 1311867172.094196    1311867172.088132    1311867172.0957
50 1311867172.126369    1311867172.117248    1311867172.1257
51 1311867172.162335    1311867172.152282    1311867172.1624
52 1311867172.194427    1311867172.188469    1311867172.1957
53 1311867172.226441    1311867172.219929    1311867172.2257
54 1311867172.262228    1311867172.252969    1311867172.2623
55 1311867172.294483    1311867172.286931    1311867172.2957
56 1311867172.326338    1311867172.318507    1311867172.3257
57 1311867172.362401    1311867172.355461    1311867172.3623
58 1311867172.394289    1311867172.387297    1311867172.3957
59 1311867172.426522    1311867172.417192    1311867172.4257
60 1311867172.462350    1311867172.455419    1311867172.4623
61 1311867172.495267    1311867172.487872    1311867172.4957
62 1311867172.562493    1311867172.556634    1311867172.5623
63 1311867172.594544    1311867172.589554    1311867172.5957
64 1311867172.626370    1311867172.618563    1311867172.6260
65 1311867172.662442    1311867172.652198    1311867172.6624
66 1311867172.694545    1311867172.686797    1311867172.6957
67 1311867172.726393    1311867172.716473    1311867172.7257
68 1311867172.762374    1311867172.755581    1311867172.7623
69 1311867172.794451    1311867172.784603    1311867172.7957
70 1311867172.826309    1311867172.819640    1311867172.8257
71 1311867172.863231    1311867172.856187    1311867172.8624
72 1311867172.926322    1311867172.920135    1311867172.9257
73 1311867172.962331    1311867172.955319    1311867172.9624
74 1311867172.994527    1311867172.987530    1311867172.9958
75 1311867173.026263    1311867173.016636    1311867173.0257
76 1311867173.062463    1311867173.055015    1311867173.0624
77 1311867173.094518    1311867173.085411    1311867173.0957
78 1311867173.126782    1311867173.118688    1311867173.1257
79 1311867173.162231    1311867173.152903    1311867173.1624
80 1311867173.194301    1311867173.186066    1311867173.1958
81 1311867173.226445    1311867173.217457    1311867173.2257
82 1311867173.262202    1311867173.252384    1311867173.2624
83 1311867173.294268    1311867173.286128    1311867173.2957
84 1311867173.326288    1311867173.316543    1311867173.3257
85 1311867173.362328    1311867173.355753    1311867173.3624
86 1311867173.394287    1311867173.384413    1311867173.3957
87 1311867173.426279    1311867173.416714    1311867173.4257
88 1311867173.462290    1311867173.455557    1311867173.4624
89 1311867173.494339    1311867173.484349    1311867173.4958
90 1311867173.526390    1311867173.521797    1311867173.5257
91 1311867173.562437    1311867173.552167    1311867173.5624
92 1311867173.594311    1311867173.584281    1311867173.5957
93 1311867173.626396    1311867173.622125    1311867173.6258
94 1311867173.662330    1311867173.652630    1311867173.6624
95 1311867173.694354    1311867173.686190    1311867173.6957
96 1311867173.726797    1311867173.721725    1311867173.7257
97 1311867173.762397    1311867173.756464    1311867173.7624
98 1311867173.794356    1311867173.785162    1311867173.7958
99 1311867173.826567    1311867173.821195    1311867173.8258
100 1311867173.863580    1311867173.852567    1311867173.8624
101 1311867173.926697    1311867173.921914    1311867173.9258
102 1311867173.962546    1311867173.953686    1311867173.9624
103 1311867173.994431    1311867173.989219    1311867173.9958
104 1311867174.026426    1311867174.024019    1311867174.0258
105 1311867174.062463    1311867174.054183    1311867174.0624
106 1311867174.094519    1311867174.086830    1311867174.0957
107 1311867174.126454    1311867174.124495    1311867174.1258
108 1311867174.162433    1311867174.155288    1311867174.1624
109 1311867174.194398    1311867174.184582    1311867174.1958
110 1311867174.226758    1311867174.220459    1311867174.2259
111 1311867174.262677    1311867174.252364    1311867174.2624
112 1311867174.294528    1311867174.285999    1311867174.2957
113 1311867174.326574    1311867174.323248    1311867174.3258
114 1311867174.362433    1311867174.354525    1311867174.3624
115 1311867174.394636    1311867174.385575    1311867174.3957
116 1311867174.426679    1311867174.420747    1311867174.4258
117 1311867174.463016    1311867174.456817    1311867174.4624
118 1311867174.494567    1311867174.484843    1311867174.4958
119 1311867174.526752    1311867174.523854    1311867174.5257
120 1311867174.562350    1311867174.552584    1311867174.5624
121 1311867174.594488    1311867174.587453    1311867174.5957
122 1311867174.626546    1311867174.620460    1311867174.6257
123 1311867174.662491    1311867174.657131    1311867174.6625
124 1311867174.694591    1311867174.689552    1311867174.6958
125 1311867174.726563    1311867174.720531    1311867174.7258
126 1311867174.762376    1311867174.755617    1311867174.7624
127 1311867174.794474    1311867174.791669    1311867174.7958
128 1311867174.827330    1311867174.827340    1311867174.8258
129 1311867174.862423    1311867174.852853    1311867174.8625
130 1311867174.894420    1311867174.892876    1311867174.8958
131 1311867174.926975    1311867174.927018    1311867174.9259
132 1311867174.962643    1311867174.954480    1311867174.9625
133 1311867174.994335    1311867174.993193    1311867174.9958
134 1311867175.026551    1311867175.020706    1311867175.0258
135 1311867175.063312    1311867175.057641    1311867175.0625
136 1311867175.094719    1311867175.091331    1311867175.0958
137 1311867175.126531    1311867175.120766    1311867175.1258
138 1311867175.162518    1311867175.156149    1311867175.1625
139 1311867175.194640    1311867175.188878    1311867175.1958
140 1311867175.227005    1311867175.220693    1311867175.2258
141 1311867175.262467    1311867175.252815    1311867175.2624
142 1311867175.294451    1311867175.289629    1311867175.2958
143 1311867175.326706    1311867175.323775    1311867175.3258
144 1311867175.362565    1311867175.353647    1311867175.3624
145 1311867175.394599    1311867175.388820    1311867175.3958
146 1311867175.426606    1311867175.423375    1311867175.4258
147 1311867175.462600    1311867175.454628    1311867175.4625
148 1311867175.494573    1311867175.488524    1311867175.4958
149 1311867175.526427    1311867175.520404    1311867175.5258
150 1311867175.562570    1311867175.555278    1311867175.5625
151 1311867175.594664    1311867175.588623    1311867175.5958
152 1311867175.626480    1311867175.622267    1311867175.6258
153 1311867175.662493    1311867175.652465    1311867175.6625
154 1311867175.694700    1311867175.691635    1311867175.6959
155 1311867175.727312    1311867175.720574    1311867175.7258
156 1311867175.762497    1311867175.752846    1311867175.7625
157 1311867175.794862    1311867175.788225    1311867175.7958
158 1311867175.828797    1311867175.822546    1311867175.8291
159 1311867175.862552    1311867175.852791    1311867175.8624
160 1311867175.894608    1311867175.888452    1311867175.8958
161 1311867175.928243    1311867175.922221    1311867175.9294
162 1311867175.962937    1311867175.956655    1311867175.9625
163 1311867175.998300    1311867175.988251    1311867175.9992
164 1311867176.062706    1311867176.057742    1311867176.0625
165 1311867176.094660    1311867176.089212    1311867176.0958
166 1311867176.126812    1311867176.123317    1311867176.1258
167 1311867176.162590    1311867176.156464    1311867176.1625
168 1311867176.194692    1311867176.188489    1311867176.1958
169 1311867176.226536    1311867176.220801    1311867176.2259
170 1311867176.262502    1311867176.256432    1311867176.2625
171 1311867176.294611    1311867176.289298    1311867176.2957
