freiburg3_long_office_household
image      depth      pose
0 1341847980.722988    1341847980.723020    1341847980.7900
1 1341847980.754743    1341847980.754755    1341847980.7900
2 1341847980.786856    1341847980.786879    1341847980.7900
3 1341847980.822978    1341847980.822989    1341847980.8201
4 1341847980.854676    1341847980.854690    1341847980.8500
5 1341847980.890728    1341847980.890737    1341847980.8901
6 1341847980.922978    1341847980.922989    1341847980.9200
7 1341847980.954645    1341847980.954676    1341847980.9500
8 1341847980.990699    1341847980.990724    1341847980.9900
9 1341847981.022715    1341847981.022728    1341847981.0200
10 1341847981.054711    1341847981.054773    1341847981.0500
11 1341847981.090715    1341847981.090786    1341847981.0900
12 1341847981.122985    1341847981.123049    1341847981.1200
13 1341847981.158632    1341847981.158648    1341847981.1600
14 1341847981.190636    1341847981.190650    1341847981.1900
15 1341847981.222978    1341847981.222989    1341847981.2203
16 1341847981.258722    1341847981.258781    1341847981.2601
17 1341847981.290787    1341847981.290854    1341847981.2900
18 1341847981.322892    1341847981.322934    1341847981.3216
19 1341847981.358690    1341847981.358724    1341847981.3601
20 1341847981.390810    1341847981.390852    1341847981.3900
21 1341847981.426707    1341847981.426732    1341847981.4301
22 1341847981.458797    1341847981.459399    1341847981.4600
23 1341847981.490701    1341847981.493435    1341847981.4900
24 1341847981.527039    1341847981.527062    1341847981.5305
25 1341847981.558722    1341847981.558770    1341847981.5610
26 1341847981.594855    1341847981.594880    1341847981.5901
27 1341847981.626675    1341847981.626685    1341847981.6300
28 1341847981.658738    1341847981.658793    1341847981.6601
29 1341847981.694720    1341847981.694765    1341847981.6901
30 1341847981.726650    1341847981.726727    1341847981.7300
31 1341847981.758846    1341847981.758922    1341847981.7601
32 1341847981.794659    1341847981.794679    1341847981.7902
33 1341847981.826678    1341847981.826688    1341847981.8301
34 1341847981.862719    1341847981.862742    1341847981.8600
35 1341847981.894631    1341847981.894645    1341847981.8900
36 1341847981.926602    1341847981.927087    1341847981.9300
37 1341847981.962757    1341847981.994858    1341847981.9601
38 1341847981.994808    1341847981.994858    1341847981.9900
39 1341847982.027112    1341847981.994858    1341847982.0301
40 1341847982.062739    1341847982.062794    1341847982.0600
41 1341847982.094786    1341847982.095304    1341847982.0900
42 1341847982.130710    1341847982.130739    1341847982.1300
43 1341847982.162730    1341847982.162746    1341847982.1627
44 1341847982.194674    1341847982.194690    1341847982.1900
45 1341847982.230594    1341847982.230626    1341847982.2301
46 1341847982.262666    1341847982.262694    1341847982.2600
47 1341847982.294994    1341847982.295020    1341847982.2902
48 1341847982.330655    1341847982.330680    1341847982.3300
49 1341847982.362722    1341847982.330680    1341847982.3600
50 1341847982.398909    1341847982.398929    1341847982.4000
51 1341847982.430770    1341847982.430799    1341847982.4300
52 1341847982.462624    1341847982.462632    1341847982.4600
